studentId,level,dataSource,is_proficient,proficient_score,school_Elementary A,school_Elementary School B,school_Elementary School E,school_Elementary School F,school_Intermediate School E,school_Middle School A,school_Middle School C,school_Middle School D,school_Middle School F,iready_math,iready_reading,past_proficient_score,subject_math,subject_reading,subject_science,subject_social-studies,subject_music,subject_art,subject_performing-arts,subject_phys-ed,subject_career-prep
44777,7,value_scantronMath,False,0.9353505893790254,False,False,False,False,False,True,False,False,False,0,0,0.9577570093457944,2,2,2,2,1,0,0,0,0
44783,7,value_scantronMath,False,0.9747235387045812,False,False,False,False,False,True,False,False,False,0,0,0.9493457943925232,2,2,2,1,0,0,0,0,0
44784,6,value_scantronMath,True,1.0216222972128484,False,False,False,False,False,True,False,False,False,0,0,0.9901315789473684,2,2,2,2,1,0,0,0,0
44807,7,value_scantronMath,True,1.0151901810669584,False,False,False,False,False,True,False,False,False,0,0,1.0355140186915888,2,2,1,2,0,0,0,0,0
44809,7,value_scantronMath,False,0.9217401871430309,False,False,False,False,False,True,False,False,False,0,0,0.934392523364486,2,2,2,2,1,0,0,0,0
44810,7,value_scantronMath,False,0.932191031717098,False,False,False,False,False,True,False,False,False,0,0,0.9476635514018692,2,2,2,2,1,0,0,0,0
44811,7,value_scantronMath,False,0.8963422043990764,False,False,False,False,False,True,False,False,False,0,0,0.9134579439252336,2,2,1,2,0,0,0,0,0
44812,7,value_scantronMath,False,0.5670190788674201,False,False,False,False,False,False,False,False,False,0,0,0.7816822429906543,0,0,0,0,0,0,0,0,0
44814,7,value_scantronMath,False,0.9471381698869852,False,False,False,False,False,True,False,False,False,0,0,0.966355140186916,2,2,1,2,1,0,0,0,0
44815,6,value_scantronMath,False,0.9691288588926384,False,False,False,False,False,True,False,False,False,0,0,0.9527863777089784,2,2,2,2,1,0,0,0,0
44816,7,value_scantronMath,False,0.9366873253129178,False,False,False,False,False,True,False,False,False,0,0,0.9693457943925232,2,2,1,2,0,0,0,0,0
44817,7,value_scantronMath,False,0.9207680155547454,False,False,False,False,False,True,False,False,False,0,0,0.9603738317757008,2,2,2,2,0,0,0,0,0
44818,7,value_scantronMath,False,0.9306112528861344,False,False,False,False,False,True,False,False,False,0,0,0.9493457943925232,2,2,2,2,0,0,0,0,0
44819,7,value_scantronMath,False,0.9222262729371734,False,False,False,False,False,True,False,False,False,0,0,0.9398130841121496,2,2,2,2,0,0,0,0,0
44820,7,value_scantronMath,False,0.9425203548426296,False,False,False,False,False,True,False,False,False,0,0,0.92,2,2,2,2,0,0,0,0,0
44822,7,value_scantronMath,False,0.8885648316927939,False,False,False,False,False,True,False,False,False,0,0,0.920373831775701,2,2,2,2,0,0,0,0,0
44823,7,value_scantronMath,False,0.9470166484384492,False,False,False,False,False,True,False,False,False,0,0,0.94,2,2,1,2,0,0,0,0,0
44824,7,value_scantronMath,False,0.9586827074978732,False,False,False,False,False,True,False,False,False,0,0,0.965981308411215,2,2,2,1,1,0,0,0,0
44828,7,value_scantronMath,False,0.7924413659010815,False,False,False,False,False,True,False,False,False,0,0,0.8702803738317757,2,2,2,2,0,0,0,0,0
44830,6,value_scantronMath,False,0.9836270466191728,False,False,False,False,False,True,False,False,False,0,0,0.9810371517027864,2,2,2,2,1,0,0,0,0
44831,6,value_scantronMath,True,1.0002499687539057,False,False,False,False,False,True,False,False,False,0,0,1.0110294117647058,2,2,2,2,1,0,0,0,0
44832,7,value_scantronMath,False,0.8937902539798274,False,False,False,False,False,True,False,False,False,0,0,0.8553271028037384,2,2,2,2,0,0,0,0,0
44833,7,value_scantronMath,False,0.9500546846518412,False,False,False,False,False,True,False,False,False,0,0,0.9405607476635514,2,2,2,2,0,0,0,0,0
44834,7,value_scantronMath,False,0.982865475756471,False,False,False,False,False,True,False,False,False,0,0,1.0123364485981308,2,2,1,2,1,0,0,0,0
44835,7,value_scantronMath,False,0.9535788066593752,False,False,False,False,False,True,False,False,False,0,0,0.9820560747663551,2,2,2,1,1,0,0,0,0
44836,7,value_scantronMath,True,1.0015797788309635,False,False,False,False,False,True,False,False,False,0,0,1.0044859813084113,2,2,2,2,1,0,0,0,0
44837,7,value_scantronMath,True,1.0275853688175962,False,False,False,False,False,True,False,False,False,0,0,1.048785046728972,2,2,2,2,1,0,0,0,0
44838,7,value_scantronMath,False,0.977761574917973,False,False,False,False,False,True,False,False,False,0,0,0.9897196261682244,2,2,2,1,0,0,0,0,0
44839,7,value_scantronMath,False,0.966095515858549,False,False,False,False,False,True,False,False,False,0,0,0.9863551401869158,2,2,1,2,0,0,0,0,0
44840,7,value_scantronMath,False,0.997083485235144,False,False,False,False,False,True,False,False,False,0,0,1.0121495327102803,2,2,2,1,0,0,0,0,0
44841,7,value_scantronMath,False,0.930003645643456,False,False,False,False,False,True,False,False,False,0,0,0.9510280373831776,2,2,2,2,0,0,0,0,0
44842,7,value_scantronMath,False,0.9998784785514644,False,False,False,False,False,True,False,False,False,0,0,1.003177570093458,2,2,2,1,0,0,0,0,0
44843,7,value_scantronMath,True,1.0206586462510632,False,False,False,False,False,True,False,False,False,0,0,1.023551401869159,2,2,2,1,0,0,0,0,0
44844,7,value_scantronMath,False,0.9318264673714912,False,False,False,False,False,True,False,False,False,0,0,0.9383177570093458,2,2,2,2,0,0,0,0,0
44845,6,value_scantronMath,True,1.014623172103487,False,False,False,False,False,True,False,False,False,0,0,1.0381191950464397,2,2,2,2,0,0,0,0,0
44846,7,value_scantronMath,True,1.0213877749422773,False,False,False,False,False,True,False,False,False,0,0,1.0289719626168223,2,2,2,2,0,0,0,0,0
44847,6,value_scantronMath,False,0.9448818897637796,False,False,False,False,False,True,False,False,False,0,0,0.9545278637770898,2,2,2,2,0,0,0,0,0
44848,6,value_scantronMath,False,0.9488813898262716,False,False,False,False,False,True,False,False,False,0,0,0.984907120743034,2,2,2,2,0,0,0,0,0
44849,7,value_scantronMath,True,1.0641633248268318,False,False,False,False,False,True,False,False,False,0,0,1.0474766355140186,2,2,2,2,0,0,0,0,0
44850,6,value_scantronMath,False,0.9616297962754656,False,False,False,False,False,True,False,False,False,0,0,0.9624613003095976,2,2,2,2,0,0,0,0,0
44851,7,value_scantronMath,True,1.002551950419249,False,False,False,False,False,True,False,False,False,0,0,1.026355140186916,2,2,2,2,1,0,0,0,0
44852,7,value_scantronMath,False,0.9296390812978492,False,False,False,False,False,True,False,False,False,0,0,0.9801869158878505,2,2,2,2,0,0,0,0,0
44853,7,value_scantronMath,False,0.9607485721229798,False,False,False,False,False,True,False,False,False,0,0,0.9439252336448598,2,2,2,1,0,0,0,0,0
44854,7,value_scantronMath,True,1.000364564345607,False,False,False,False,False,True,False,False,False,0,0,0.9738317757009346,2,2,2,2,1,0,0,0,0
44855,7,value_scantronMath,False,0.9684044233807269,False,False,False,False,False,True,False,False,False,0,0,0.9979439252336448,2,2,1,2,0,0,0,0,0
44856,7,value_scantronMath,False,0.9010815408919672,False,False,False,False,False,True,False,False,False,0,0,0.94,2,2,2,2,0,0,0,0,0
44857,7,value_scantronMath,False,0.951148377688662,False,False,False,False,False,True,False,False,False,0,0,0.985981308411215,2,2,2,1,0,0,0,0,0
44858,7,value_scantronMath,False,0.8614655486693401,False,False,False,False,False,True,False,False,False,0,0,0.9500934579439252,2,2,2,2,0,0,0,0,0
44859,7,value_scantronMath,True,1.0195649532142423,False,False,False,False,False,True,False,False,False,0,0,0.995140186915888,2,2,2,2,1,0,0,0,0
44860,7,value_scantronMath,False,0.983594604447685,False,False,False,False,False,True,False,False,False,0,0,0.9867289719626168,2,2,1,2,0,0,0,0,0
44861,6,value_scantronMath,False,0.9597550306211724,False,False,False,False,False,True,False,False,False,0,0,0.9781346749226006,2,2,2,2,0,0,0,0,0
44862,6,value_scantronMath,False,0.9408823897012872,False,False,False,False,False,True,False,False,False,0,0,0.9407894736842104,2,2,2,2,1,0,0,0,0
44863,7,value_scantronMath,False,0.985781990521327,False,False,False,False,False,True,False,False,False,0,0,0.9730841121495328,2,2,2,2,1,0,0,0,0
44864,7,value_scantronMath,False,0.9831085186535424,False,False,False,False,False,True,False,False,False,0,0,1.0153271028037385,2,2,2,1,0,0,0,0,0
44865,7,value_scantronMath,False,0.971928545388261,False,False,False,False,False,True,False,False,False,0,0,1.0241121495327103,2,2,1,2,0,0,0,0,0
44866,7,value_scantronMath,True,1.013124316441852,False,False,False,False,False,True,False,False,False,0,0,1.0418691588785047,2,2,1,2,0,0,0,0,0
44867,7,value_scantronMath,False,0.9877263336978978,False,False,False,False,False,True,False,False,False,0,0,1.0138317757009343,2,2,2,1,0,0,0,0,0
44868,7,value_scantronMath,True,1.0019443431765709,False,False,False,False,False,True,False,False,False,0,0,1.0465420560747662,2,2,2,2,1,0,0,0,0
44869,7,value_scantronMath,False,0.9275732166727428,False,False,False,False,False,True,False,False,False,0,0,0.9555140186915888,2,2,1,2,0,0,0,0,0
44871,7,value_scantronMath,True,1.0002430428970712,False,False,False,False,False,True,False,False,False,0,0,1.0209345794392524,2,2,1,2,0,0,0,0,0
44872,7,value_scantronMath,False,0.8867420099647588,False,False,False,False,False,True,False,False,False,0,0,0.971588785046729,2,2,2,1,0,0,0,0,0
44873,7,value_scantronMath,True,1.0723052618787217,False,False,False,False,False,True,False,False,False,0,0,1.0609345794392524,2,2,2,1,0,0,0,0,0
44874,7,value_scantronMath,False,0.9860250334183984,False,False,False,False,False,True,False,False,False,0,0,1.0052336448598131,2,2,1,2,0,0,0,0,0
44875,7,value_scantronMath,False,0.9362012395187752,False,False,False,False,False,True,False,False,False,0,0,0.9226168224299064,2,2,2,2,0,0,0,0,0
44876,7,value_scantronMath,True,1.0924778223356422,False,False,False,False,False,True,False,False,False,0,0,1.0663551401869158,2,2,2,2,1,0,0,0,0
44877,7,value_scantronMath,False,0.921254101348888,False,False,False,False,False,True,False,False,False,0,0,0.9370093457943924,2,2,2,2,0,0,0,0,0
44878,7,value_scantronMath,True,1.0701178758050796,False,False,False,False,False,True,False,False,False,0,0,1.0717757009345794,2,2,2,1,0,0,0,0,0
44879,7,value_scantronMath,True,1.0334183983473082,False,False,False,False,False,True,False,False,False,0,0,1.034018691588785,2,2,2,2,0,0,0,0,0
44880,7,value_scantronMath,True,1.0633126746870822,False,False,False,False,False,True,False,False,False,0,0,1.0613084112149531,2,2,2,1,0,0,0,0,0
44881,7,value_scantronMath,True,1.0097217158828533,False,False,False,False,False,True,False,False,False,0,0,1.0201869158878505,2,2,1,2,0,0,0,0,0
44882,7,value_scantronMath,False,0.9637866083363712,False,False,False,False,False,True,False,False,False,0,0,0.9373831775700936,2,2,2,2,0,0,0,0,0
44883,7,value_scantronMath,False,0.8835824523028314,False,False,False,False,False,True,False,False,False,0,0,0.9254205607476635,2,2,2,2,0,0,0,0,0
44884,6,value_scantronMath,False,0.8536432945881764,False,False,False,False,False,True,False,False,False,0,0,0.8045665634674922,2,2,2,2,1,0,0,0,0
44885,6,value_scantronMath,False,0.9398825146856642,False,False,False,False,False,True,False,False,False,0,0,0.9285990712074303,2,2,2,2,0,0,0,0,0
44886,7,value_scantronMath,False,0.955887714181553,False,False,False,False,False,True,False,False,False,0,0,0.9514018691588784,2,2,2,2,0,0,0,0,0
44887,7,value_scantronMath,True,1.022602989427634,False,False,False,False,False,True,False,False,False,0,0,1.0151401869158878,2,2,1,2,0,0,0,0,0
44888,7,value_scantronMath,True,1.084943492526431,False,False,False,False,False,True,False,False,False,0,0,1.096822429906542,2,2,2,2,1,0,0,0,0
44889,7,value_scantronMath,False,0.977761574917973,False,False,False,False,False,True,False,False,False,0,0,0.9622429906542056,2,2,2,1,0,0,0,0,0
44890,6,value_scantronMath,False,0.971628546431696,False,False,False,False,False,True,False,False,False,0,0,0.9781346749226006,2,2,2,2,1,0,0,0,0
44891,7,value_scantronMath,False,0.958804228946409,False,False,False,False,False,True,False,False,False,0,0,0.9900934579439252,2,2,1,2,0,0,0,0,0
44892,7,value_scantronMath,True,1.0006076072426784,False,False,False,False,False,True,False,False,False,0,0,1.026355140186916,2,2,2,2,0,0,0,0,0
44893,7,value_scantronMath,False,0.8129784907036092,False,False,False,False,False,True,False,False,False,0,0,0.8889719626168224,2,2,2,1,0,0,0,0,0
44895,7,value_scantronMath,False,0.9643942155790498,False,False,False,False,False,True,False,False,False,0,0,0.999252336448598,2,2,2,2,1,0,0,0,0
44896,7,value_scantronMath,False,0.994166970470288,False,False,False,False,False,True,False,False,False,0,0,0.9672897196261684,2,2,2,1,0,0,0,0,0
44897,6,value_scantronMath,False,0.9158855143107112,False,False,False,False,False,True,False,False,False,0,0,0.9529798761609908,2,2,2,2,0,0,0,0,0
